Model Year,Model,Title State/Type,Location,Auction Date,Auctual Cash Value,Actual Cash Value Currency,Repair Cost,Repair Cost Currency,Odometer,Prim Damage,Sec Damage,Price Sold or Highest Bid,Price Sold or Highest Bid Currency
2020,Toyota RAV4 XLE,MO JT,CA - SAN BERNARDINO,2020-04-09,23785.0,USD $,,,532 A,Front end,,12100.0,USD $
2020,Toyota CAMRY SE,TN RC,FL - ORLANDO SOUTH,2020-04-09,,,,,10 A,Water/flood,,18500.0,USD $
2020,Toyota COROLLA LE,MO SC,CO - DENVER CENTRAL,2020-04-09,16157.0,USD $,18603.0,USD $,24358 A,Side,,7200.0,USD $
2020,Toyota COROLLA LE,FL RB,FL - ORLANDO SOUTH,2020-04-09,,,14435.0,USD $,12603 A,Rear end,,9000.0,USD $
2020,Toyota COROLLA SE,NH CT,MA - NORTH BOSTON,2020-04-08,,,,,16361 A,Minor dent/scratches,,13600.0,USD $
2020,Toyota COROLLA SE,FL CD,CA - MARTINEZ,2020-04-08,18550.0,USD $,,,0 N,Undercarriage,Rear end,7000.0,USD $
2020,Toyota COROLLA LE,NC DC,RENTAL VEHICLE SALE,2020-04-08,18422.0,USD $,,,0 N,Rear end,,8400.0,USD $
2020,Toyota SIENNA LE,TX SV,TX - DALLAS,2020-04-08,30733.0,USD $,,,4279 A,Front end,Side,7500.0,USD $
2020,Toyota COROLLA LE,GA ST,GA - ATLANTA WEST,2020-04-07,18155.0,USD $,,,293 A,All over,,5100.0,USD $
2020,Toyota COROLLA XS,TN RC,FL - JACKSONVILLE EAST,2020-04-04,,,,,6 A,Water/flood,Normal wear,13500.0,USD $
2020,Toyota COROLLA LE,CA SC,CA - VAN NUYS,2020-04-03,20033.0,USD $,31100.0,USD $,0 N,Front end,Biohazard/chemical,4000.0,USD $
2020,Toyota COROLLA LE,PA SC,PA - PITTSBURGH NORTH,2020-03-31,18095.0,USD $,18095.0,USD $,2644 A,Front end,Rear end,3400.0,USD $
2020,Toyota COROLLA L,GA ST,GA - TIFTON,2020-03-31,16250.0,USD $,,,5889 A,Front end,,4850.0,USD $
2020,Toyota COROLLA SE,FL CD,FL - TAMPA SOUTH,2020-03-31,17437.0,USD $,28359.0,USD $,2512 A,Front end,Minor dent/scratches,3600.0,USD $
2020,Toyota COROLLA L,AR ST,AR - LITTLE ROCK,2020-03-30,15250.0,USD $,15779.0,USD $,10583 A,Front end,Minor dent/scratches,7000.0,USD $
2020,Toyota COROLLA XS,CA SC,CA - SAN BERNARDINO,2020-03-29,22855.0,USD $,,,12446 A,Front end,Side,3500.0,USD $
